1Mkeys-string-get-10B-pipeline-10,r6g.2xlarge,827004.820
1Mkeys-string-get-10B-pipeline-10,m4.2xlarge,439698.600
1Mkeys-string-get-10B-pipeline-10,m5.2xlarge,765316.110
1Mkeys-string-get-10B-pipeline-10,m6i.2xlarge,1059536.360
1Mkeys-string-get-10B-pipeline-10,m6a.2xlarge,1162341.730
1Mkeys-string-get-10B-pipeline-10,m6g.2xlarge,828797.550
10Mkeys-load-hash-5-fields-with-10B-values-pipeline-10,c4.2xlarge,292325.630
10Mkeys-load-hash-5-fields-with-10B-values-pipeline-10,c5.2xlarge,420202.320
10Mkeys-load-hash-5-fields-with-10B-values-pipeline-10,c6i.2xlarge,507944.930
10Mkeys-load-hash-5-fields-with-10B-values-pipeline-10,c6a.2xlarge,444605.890
10Mkeys-load-hash-5-fields-with-10B-values-pipeline-10,c6g.2xlarge,315520.340
10Mkeys-load-hash-5-fields-with-10B-values-pipeline-10,c7g.2xlarge,432415.280
10Mkeys-load-hash-5-fields-with-10B-values-pipeline-10,r4.2xlarge,204081.270
10Mkeys-load-hash-5-fields-with-10B-values-pipeline-10,r5.2xlarge,373676.630
10Mkeys-load-hash-5-fields-with-10B-values-pipeline-10,r6i.2xlarge,508701.800
10Mkeys-load-hash-5-fields-with-10B-values-pipeline-10,r6a.2xlarge,415698.640
10Mkeys-load-hash-5-fields-with-10B-values-pipeline-10,r6g.2xlarge,320432.380
10Mkeys-load-hash-5-fields-with-10B-values-pipeline-10,m4.2xlarge,249919.270
10Mkeys-load-hash-5-fields-with-10B-values-pipeline-10,m5.2xlarge,367689.750
10Mkeys-load-hash-5-fields-with-10B-values-pipeline-10,m6i.2xlarge,508909.080
10Mkeys-load-hash-5-fields-with-10B-values-pipeline-10,m6a.2xlarge,511190.770
10Mkeys-load-hash-5-fields-with-10B-values-pipeline-10,m6g.2xlarge,321984.450
1key-zset-1M-elements-zrevrange-5-elements,c4.2xlarge,169504.710
1key-zset-1M-elements-zrevrange-5-elements,c5.2xlarge,168068.120
1key-zset-1M-elements-zrevrange-5-elements,c6i.2xlarge,204986.250
1key-zset-1M-elements-zrevrange-5-elements,c6a.2xlarge,169219.150
1key-zset-1M-elements-zrevrange-5-elements,c6g.2xlarge,182208.550
1key-zset-1M-elements-zrevrange-5-elements,c7g.2xlarge,220028.700
1key-zset-1M-elements-zrevrange-5-elements,r4.2xlarge,92919.210
1key-zset-1M-elements-zrevrange-5-elements,r5.2xlarge,144804.940
1key-zset-1M-elements-zrevrange-5-elements,r6i.2xlarge,232970.700
1key-zset-1M-elements-zrevrange-5-elements,r6a.2xlarge,154419.690
1key-zset-1M-elements-zrevrange-5-elements,r6g.2xlarge,181856.350
1key-zset-1M-elements-zrevrange-5-elements,m4.2xlarge,137249.070
1key-zset-1M-elements-zrevrange-5-elements,m5.2xlarge,151069.370
1key-zset-1M-elements-zrevrange-5-elements,m6i.2xlarge,198589.560
1key-zset-1M-elements-zrevrange-5-elements,m6a.2xlarge,227392.100
1key-zset-1M-elements-zrevrange-5-elements,m6g.2xlarge,175716.090
10Mkeys-load-hash-5-fields-with-10B-values,c4.2xlarge,292325.630
10Mkeys-load-hash-5-fields-with-10B-values,c5.2xlarge,420202.320
10Mkeys-load-hash-5-fields-with-10B-values,c6i.2xlarge,507944.930
10Mkeys-load-hash-5-fields-with-10B-values,c6a.2xlarge,444605.890
10Mkeys-load-hash-5-fields-with-10B-values,c6g.2xlarge,315520.340
10Mkeys-load-hash-5-fields-with-10B-values,c7g.2xlarge,432415.280
10Mkeys-load-hash-5-fields-with-10B-values,r4.2xlarge,204081.270
10Mkeys-load-hash-5-fields-with-10B-values,r5.2xlarge,373676.630
10Mkeys-load-hash-5-fields-with-10B-values,r6i.2xlarge,508701.800
10Mkeys-load-hash-5-fields-with-10B-values,r6a.2xlarge,415698.640
10Mkeys-load-hash-5-fields-with-10B-values,r6g.2xlarge,320432.380
10Mkeys-load-hash-5-fields-with-10B-values,m4.2xlarge,249919.270
10Mkeys-load-hash-5-fields-with-10B-values,m5.2xlarge,367689.750
10Mkeys-load-hash-5-fields-with-10B-values,m6i.2xlarge,508909.080
